Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,UpdatePosition,1722222852.493718,693,0,1
2,UpdatePosition,1722222852.494413,767,0,1
3,UpdateEmployee,1722222852.495182,702,0,1
4,DeleteEmployee,1722222852.495886,1482,0,1
1,InsertPosition,1722222852.497371,659,0,1
3,UpdateEmployee,1722222852.498031,662,0,1
3,UpdateEmployee,1722222852.498695,631,0,1
2,UpdatePosition,1722222852.499327,733,0,1
3,UpdateEmployee,1722222852.500062,650,0,1
3,UpdateEmployee,1722222852.500713,657,0,1
1,InsertPosition,1722222852.501372,619,0,1
3,UpdateEmployee,1722222852.501993,650,0,1
4,DeleteEmployee,1722222852.502644,1489,0,1
2,UpdatePosition,1722222852.504135,713,0,1
1,InsertPosition,1722222852.504850,628,0,1
2,UpdatePosition,1722222852.505479,792,0,1
2,UpdatePosition,1722222852.506274,712,0,1
3,UpdateEmployee,1722222852.506988,688,0,1
2,UpdatePosition,1722222852.507678,754,0,1
4,DeleteEmployee,1722222852.508434,1475,0,1
2,UpdatePosition,1722222852.509911,655,0,1
4,DeleteEmployee,1722222852.510567,1344,0,1
1,InsertPosition,1722222852.511913,573,0,1
2,UpdatePosition,1722222852.512487,617,0,1
4,DeleteEmployee,1722222852.513106,1383,0,1
1,InsertPosition,1722222852.514491,570,0,1
2,UpdatePosition,1722222852.515065,759,0,1
2,UpdatePosition,1722222852.515826,748,0,1
2,UpdatePosition,1722222852.516576,591,0,1
4,DeleteEmployee,1722222852.517169,1387,0,1
4,DeleteEmployee,1722222852.518558,1359,0,1
3,UpdateEmployee,1722222852.519918,650,0,1
3,UpdateEmployee,1722222852.520571,614,0,1
3,UpdateEmployee,1722222852.521186,614,0,1
1,InsertPosition,1722222852.521802,645,0,1
3,UpdateEmployee,1722222852.522449,687,0,1
3,UpdateEmployee,1722222852.523138,648,0,1
1,InsertPosition,1722222852.523787,650,0,1
2,UpdatePosition,1722222852.524439,783,0,1
2,UpdatePosition,1722222852.525224,777,0,1
